WOPR,WGPR,WWPR,WOPT,WGPT,WWPT,WBHP,WTHP,WGIR,WWIR,WGIT,WWIT,WSPR,WSIR,WSPT,WSIT,WSTAT,WELL_NAME,PHASE,TYPE,date
0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,STOP,B-1BH,OIL,OP,1997-11-14
0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,STOP,B-1BH,OIL,OP,1997-12-01
0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,STOP,B-1BH,OIL,OP,1997-12-17
0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,STOP,B-1BH,OIL,OP,1998-01-01
0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,STOP,B-1BH,OIL,OP,1998-02-01
0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,STOP,B-1BH,OIL,OP,1998-03-01
0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,STOP,B-1BH,OIL,OP,1998-03-29
0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,STOP,B-1BH,OIL,OP,1998-03-30
0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,STOP,B-1BH,OIL,OP,1998-04-01
0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,STOP,B-1BH,OIL,OP,1998-04-23
0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,STOP,B-1BH,OIL,OP,1998-05-01
0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,STOP,B-1BH,OIL,OP,1998-05-26
0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,STOP,B-1BH,OIL,OP,1998-05-27
0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,STOP,B-1BH,OIL,OP,1998-06-01
0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,STOP,B-1BH,OIL,OP,1998-06-14
0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,STOP,B-1BH,OIL,OP,1998-06-23
0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,STOP,B-1BH,OIL,OP,1998-06-24
0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,STOP,B-1BH,OIL,OP,1998-07-01
0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,STOP,B-1BH,OIL,OP,1998-07-16
0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,STOP,B-1BH,OIL,OP,1998-08-01
0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,STOP,B-1BH,OIL,OP,1998-08-30
0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,STOP,B-1BH,OIL,OP,1998-08-31
0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,STOP,B-1BH,OIL,OP,1998-09-01
0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,STOP,B-1BH,OIL,OP,1998-09-18
0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,STOP,B-1BH,OIL,OP,1998-09-28
0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,STOP,B-1BH,OIL,OP,1998-10-01
0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,STOP,B-1BH,OIL,OP,1998-10-13
0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,STOP,B-1BH,OIL,OP,1998-10-17
0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,STOP,B-1BH,OIL,OP,1998-11-01
0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,STOP,B-1BH,OIL,OP,1998-12-01
0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,STOP,B-1BH,OIL,OP,1998-12-25
0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,STOP,B-1BH,OIL,OP,1999-01-01
0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,STOP,B-1BH,OIL,OP,1999-01-04
0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,STOP,B-1BH,OIL,OP,1999-01-19
0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,STOP,B-1BH,OIL,OP,1999-01-21
0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,STOP,B-1BH,OIL,OP,1999-02-01
0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,STOP,B-1BH,OIL,OP,1999-02-24
0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,STOP,B-1BH,OIL,OP,1999-03-01
0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,STOP,B-1BH,OIL,OP,1999-03-05
0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,STOP,B-1BH,OIL,OP,1999-03-23
0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,STOP,B-1BH,OIL,OP,1999-03-26
0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,STOP,B-1BH,OIL,OP,1999-03-28
0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,STOP,B-1BH,OIL,OP,1999-04-01
0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,STOP,B-1BH,OIL,OP,1999-05-01
0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,STOP,B-1BH,OIL,OP,1999-05-04
